Ciudad,Cantidades,Importe,Cliente,Provincia,Nombre,Pago,Producto,Transporte
Bahía Blanca,36,"$37.638,75 ",Dickinson,Provincia de Buenos Aires,María Cedeño,60 días,Tuercas,Camion
Bahía Blanca,29,"$20.394,19 ",Dickinson,Provincia de Buenos Aires,María Diego,60 días,Tuercas,Camion
Bahía Blanca,18,"$36.275,08 ",Dickinson,Provincia de Buenos Aires,María Dolores Sousa,60 días,Tuercas,Camion
Bahía Blanca,20,"$6.848,70 ",Dickinson,Provincia de Buenos Aires,María Fernández,60 días,Tuercas,Camion
Bahía Blanca,4,"$34.399,70 ",Dickinson,Provincia de Buenos Aires,María Isabel Heredia,60 días,Tuercas,Camion
Bahía Blanca,27,"$54.192,70 ",Dickinson,Provincia de Buenos Aires,María Isabel León,60 días,Tuercas,Camion
Bahía Blanca,12,"$4.798,17 ",Dickinson,Provincia de Buenos Aires,María Jesús Peñalver,60 días,Tuercas,Camion
Bahía Blanca,1,"$1.135,16 ",Dickinson,Provincia de Buenos Aires,María Pilar Pérez,60 días,Tuercas,Camion
Bahía Blanca,1,"$483,87 ",Dickinson,Provincia de Buenos Aires,Marta Amigo,60 días,Tuercas,Camion
Bahía Blanca,11,"$19.673,60 ",Dickinson,Provincia de Buenos Aires,Marta López,60 días,Tuercas,Camion
Bahía Blanca,23,"$8.699,26 ",Dickinson,Provincia de Buenos Aires,Pablo López,60 días,Tuercas,Camion
Bahía Blanca,6,"$2.858,86 ",Dickinson,Provincia de Buenos Aires,Raquel Pueyo,60 días,Tuercas,Camion
Bahía Blanca,9,"$23.864,06 ",Dickinson,Provincia de Buenos Aires,Sara Pineda,60 días,Tuercas,Camion
Bahía Blanca,14,"$4.892,86 ",Dickinson,Provincia de Buenos Aires,Sergio Jiménez,60 días,Tuercas,Camion
Bahía Blanca,52,"$10.649,65 ",Dickinson,Provincia de Buenos Aires,Susana Escudero,60 días,Tuercas,Camion
Bahía Blanca,7,"$24.998,19 ",Dickinson,Provincia de Buenos Aires,Teresa Martínez,60 días,Tuercas,Camion
Banfield,561,"$5.267,78 ",Rosebund,Provincia de Buenos Aires,José María Pérez,30 días,Perfiles De Acero,Camion
Banfield,476,"$952,53 ",Rosebund,Provincia de Buenos Aires,José María Pérez,30 días,Perfiles De Acero,Tren
Banfield,46,"$702,58 ",Ledner SRL,Provincia de Buenos Aires,Cristina Zamora,30 días,Perfiles De Acero,Camion
Banfield,8,"$196,77 ","Lockman, Senger and Hirthe",Provincia de Buenos Aires,Carmen Cortes,30 días,Perfiles De Acero,Camion
Banfield,10,"$3.479,62 ","Lockman, Senger and Hirthe",Provincia de Buenos Aires,José Sola,30 días,Perfiles De Acero,Camion
Banfield,10,"$2.727,01 ","Lockman, Senger and Hirthe",Provincia de Buenos Aires,María Diego,30 días,Perfiles De Acero,Camion
Buenos Aires,3,"$3.656,72 ",Rosebund,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Tornillos,Camion
Buenos Aires,3,"$1.357,63 ",Rosebund,Ciudad de Buenos Aires,Cristina Rodríguez,30 días,Tornillos,Camion
Buenos Aires,3,"$4.909,99 ",Rosebund,Ciudad de Buenos Aires,Daniel Pino,30 días,Tornillos,Camion
Buenos Aires,6,"$1.466,87 ",Rosebund,Ciudad de Buenos Aires,Jaume García,30 días,Tornillos,Camion
Buenos Aires,3,"$1.147,26 ",Rosebund,Ciudad de Buenos Aires,Joaquín Vega,30 días,Tornillos,Camion
Buenos Aires,3,"$528,04 ",Rosebund,Ciudad de Buenos Aires,María Ángeles Ruiz,30 días,Tornillos,Camion
Buenos Aires,3,"$722,63 ",Rosebund,Ciudad de Buenos Aires,Pablo López,30 días,Tornillos,Camion
Buenos Aires,3,"$1.111,13 ",Rosebund,Ciudad de Buenos Aires,Sara Pineda,30 días,Tornillos,Camion
Buenos Aires,3,"$927,74 ",Rosebund,Ciudad de Buenos Aires,Teresa Martínez,30 días,Tornillos,Camion
Buenos Aires,3,"$102,90 ",Bechtelar-Gibson,Ciudad de Buenos Aires,Cristina Rodríguez,30 días,Tornillos,Camion
Buenos Aires,3,"$100,26 ",Bechtelar-Gibson,Ciudad de Buenos Aires,Elena Fernández,30 días,Tornillos,Tren
Buenos Aires,3,"$101,94 ",Bechtelar-Gibson,Ciudad de Buenos Aires,María Ángeles Martínez,30 días,Tornillos,Camion
Buenos Aires,3,"$101,94 ",Bechtelar-Gibson,Ciudad de Buenos Aires,Pablo López,30 días,Tornillos,Camion
Buenos Aires,3,"$185,57 ",Bechtelar-Gibson,Ciudad de Buenos Aires,Pablo López,30 días,Tornillos,Tren
Buenos Aires,2,"$24.419,08 ",Bins LLC,Ciudad de Buenos Aires,María Carmen Serrano,30 días,Perfiles De Acero,Camion
Buenos Aires,3,"$154,17 ",Boehm-Mohr,Ciudad de Buenos Aires,Adrián Souto,30 días,Tornillos,Camion
Buenos Aires,3,"$1.889,28 ",Boehm-Mohr,Ciudad de Buenos Aires,Alberto García,30 días,Tornillos,Camion
Buenos Aires,3,"$142,80 ",Boehm-Mohr,Ciudad de Buenos Aires,Antonia Martínez,30 días,Tornillos,Camion
Buenos Aires,3,"$105,60 ",Boehm-Mohr,Ciudad de Buenos Aires,Antonio Calderón,30 días,Tornillos,Camion
Buenos Aires,3,"$129,68 ",Boehm-Mohr,Ciudad de Buenos Aires,Begoña García,30 días,Tornillos,Camion
Buenos Aires,3,"$156,77 ",Boehm-Mohr,Ciudad de Buenos Aires,Francisco Miñana,30 días,Tornillos,Camion
Buenos Aires,3,"$106,48 ",Boehm-Mohr,Ciudad de Buenos Aires,María Fernández,30 días,Tornillos,Camion
Buenos Aires,3,"$123,20 ",Gomez y Cia,Ciudad de Buenos Aires,Ana Aguilera,30 días,Tornillos,Camion
Buenos Aires,3,"$108,71 ",Gomez y Cia,Ciudad de Buenos Aires,Jaume García,30 días,Tornillos,Camion
Buenos Aires,3,"$108,67 ",Gomez y Cia,Ciudad de Buenos Aires,José María Pérez,30 días,Tornillos,Camion
Buenos Aires,3,"$102,90 ",Gomez y Cia,Ciudad de Buenos Aires,Raquel Pueyo,30 días,Tornillos,Camion
Buenos Aires,3,"$572,26 ",Collier-Block,Ciudad de Buenos Aires,Daniel Pino,30 días,Tornillos,Camion
Buenos Aires,3,"$1.906,68 ",Crona-Ricardez,Ciudad de Buenos Aires,María Dolores Sousa,30 días,Tornillos,Camion
Buenos Aires,3,"$100,52 ",Denesik-Nader,Ciudad de Buenos Aires,Cristina Zamora,30 días,Tornillos,Tren
Buenos Aires,3,"$131,83 ",Denesik-Nader,Ciudad de Buenos Aires,María Ángeles Ruiz,30 días,Tornillos,Tren
Buenos Aires,3,"$101,45 ",Denesik-Nader,Ciudad de Buenos Aires,María Fernández,30 días,Tornillos,Tren
Buenos Aires,6,"$581.286,79 ",Morar SRL,Ciudad de Buenos Aires,Antonia Lorente,30 días,Tornillos,Tren
Buenos Aires,3,"$1.691,77 ",Morar SRL,Ciudad de Buenos Aires,Begoña García,30 días,Tornillos,Tren
Buenos Aires,3,"$1.139,23 ",Morar SRL,Ciudad de Buenos Aires,Carmen Diez,30 días,Tornillos,Camion
Buenos Aires,3,"$335,92 ",Emard S.A.,Ciudad de Buenos Aires,Alberto García,30 días,Tornillos,Camion
Buenos Aires,3,"$1.612.903,23 ",Emard S.A.,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Tornillos,Tren
Buenos Aires,3,"$109,68 ",Emard S.A.,Ciudad de Buenos Aires,Ana María Serrano,30 días,Tornillos,Camion
Buenos Aires,3,"$102,90 ",Emard S.A.,Ciudad de Buenos Aires,Begoña García,30 días,Tornillos,Camion
Buenos Aires,3,"$106,45 ",Emard S.A.,Ciudad de Buenos Aires,Carlos Arenas,30 días,Tornillos,Camion
Buenos Aires,6,"$212,06 ",Emard S.A.,Ciudad de Buenos Aires,Carmen Cortes,30 días,Tornillos,Camion
Buenos Aires,6,"$214,95 ",Emard S.A.,Ciudad de Buenos Aires,Carmen Diez,30 días,Tornillos,Camion
Buenos Aires,3,"$107,74 ",Emard S.A.,Ciudad de Buenos Aires,Cristina Zamora,30 días,Tornillos,Camion
Buenos Aires,6,"$218,18 ",Emard S.A.,Ciudad de Buenos Aires,Elena Fernández,30 días,Tornillos,Camion
Buenos Aires,3,"$112,90 ",Emard S.A.,Ciudad de Buenos Aires,Joaquín Vega,30 días,Tornillos,Camion
Buenos Aires,6,"$212,08 ",Emard S.A.,Ciudad de Buenos Aires,José María Pérez,30 días,Tornillos,Camion
Buenos Aires,3,"$105,55 ",Emard S.A.,Ciudad de Buenos Aires,José Salcedo,30 días,Tornillos,Camion
Buenos Aires,3,"$112,90 ",Emard S.A.,Ciudad de Buenos Aires,Juan Andrés,30 días,Tornillos,Camion
Buenos Aires,3,"$106,04 ",Emard S.A.,Ciudad de Buenos Aires,Manuel Grande,30 días,Tornillos,Camion
Buenos Aires,3,"$106,35 ",Emard S.A.,Ciudad de Buenos Aires,María Ángeles Alves,30 días,Tornillos,Camion
Buenos Aires,3,"$105,75 ",Emard S.A.,Ciudad de Buenos Aires,María Carmen Serrano,30 días,Tornillos,Camion
Buenos Aires,3,"$105,81 ",Emard S.A.,Ciudad de Buenos Aires,María Diego,30 días,Tornillos,Camion
Buenos Aires,3,"$105,52 ",Emard S.A.,Ciudad de Buenos Aires,Sergio Jiménez,30 días,Tornillos,Camion
Buenos Aires,3,"$102,90 ",Emard S.A.,Ciudad de Buenos Aires,Susana Escudero,30 días,Tornillos,Camion
Buenos Aires,3,"$105,33 ",Emard S.A.,Ciudad de Buenos Aires,Teresa Martínez,30 días,Tornillos,Camion
Buenos Aires,3,"$414,19 ",Farrell Ltd,Ciudad de Buenos Aires,Susana Escudero,30 días,Alambre,Tren
Buenos Aires,462,"$432.649,03 ",Fisher-Ortiz,Ciudad de Buenos Aires,Marta Amigo,30 días,Tornillos,Tren
Buenos Aires,3,"$144,61 ",Treutel SRL,Ciudad de Buenos Aires,Alberto García,30 días,Tornillos,Camion
Buenos Aires,3,"$101,35 ",Treutel SRL,Ciudad de Buenos Aires,Ana María Serrano,30 días,Tornillos,Tren
Buenos Aires,3,"$100,72 ",Treutel SRL,Ciudad de Buenos Aires,Carmen Cortes,30 días,Tornillos,Tren
Buenos Aires,3,"$100,72 ",Treutel SRL,Ciudad de Buenos Aires,Carmen Diez,30 días,Tornillos,Tren
Buenos Aires,3,"$111,94 ",Treutel SRL,Ciudad de Buenos Aires,Cristina Zamora,30 días,Tornillos,Camion
Buenos Aires,2,"$2.618,75 ",Treutel SRL,Ciudad de Buenos Aires,Juan Andrés,30 días,Tornillos,Tren
Buenos Aires,3,"$101,94 ",Treutel SRL,Ciudad de Buenos Aires,María Pilar Pérez,30 días,Tornillos,Camion
Buenos Aires,3,"$100,72 ",Treutel SRL,Ciudad de Buenos Aires,Marta Amigo,30 días,Tornillos,Tren
Buenos Aires,3,"$112,90 ",Hane Inc,Ciudad de Buenos Aires,Antonia Martínez,30 días,Tornillos,Tren
Buenos Aires,3,"$114,52 ",Hane Inc,Ciudad de Buenos Aires,José Salcedo,30 días,Tornillos,Tren
Buenos Aires,17,"$34.052,88 ",Hane Inc,Ciudad de Buenos Aires,María Cedeño,30 días,Perfiles De Acero,Camion
Buenos Aires,3,"$120,36 ",Hane Inc,Ciudad de Buenos Aires,María Fernández,30 días,Tornillos,Camion
Buenos Aires,3,"$155,99 ",Heaney-Wolf,Ciudad de Buenos Aires,Joaquín Vega,30 días,Tornillos,Tren
Buenos Aires,3,"$647,77 ",Heaney-Wolf,Ciudad de Buenos Aires,José Salcedo,30 días,Tornillos,Camion
Buenos Aires,20,"$27.973,56 ",Simones e Hijos,Ciudad de Buenos Aires,María Pilar Pérez,30 días,Tornillos,Tren
Buenos Aires,3,"$1.999,70 ",Huel e Hijos,Ciudad de Buenos Aires,Alberto García,30 días,Tornillos,Tren
Buenos Aires,6,"$1.549,72 ",Huel e Hijos,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Tornillos,Tren
Buenos Aires,3,"$10.004,55 ",Huel e Hijos,Ciudad de Buenos Aires,Ana María Serrano,30 días,Tornillos,Tren
Buenos Aires,3,"$981,53 ",Huel e Hijos,Ciudad de Buenos Aires,Antonio Calderón,30 días,Tornillos,Camion
Buenos Aires,6,"$12.353,62 ",Huel e Hijos,Ciudad de Buenos Aires,Carlos Arenas,30 días,Tornillos,Tren
Buenos Aires,3,"$2.074,43 ",Huel e Hijos,Ciudad de Buenos Aires,Elena Fernández,30 días,Tornillos,Tren
Buenos Aires,3,"$12.099,15 ",Huel e Hijos,Ciudad de Buenos Aires,María Diego,30 días,Tornillos,Tren
Buenos Aires,3,"$1.033,75 ",Huel e Hijos,Ciudad de Buenos Aires,María Dolores Sousa,30 días,Tornillos,Tren
Buenos Aires,3,"$3.389,55 ",Huel e Hijos,Ciudad de Buenos Aires,María Fernández,30 días,Tornillos,Tren
Buenos Aires,3,"$3.504,98 ",Huel e Hijos,Ciudad de Buenos Aires,María Jesús Peñalver,30 días,Tornillos,Tren
Buenos Aires,3,"$1.677,83 ",Huel e Hijos,Ciudad de Buenos Aires,Pablo López,30 días,Tornillos,Tren
Buenos Aires,3,"$5.222,54 ",Huel e Hijos,Ciudad de Buenos Aires,Sara Pineda,30 días,Tornillos,Tren
Buenos Aires,3,"$1.032,52 ",Huel e Hijos,Ciudad de Buenos Aires,Susana Escudero,30 días,Tornillos,Tren
Buenos Aires,3,"$1.881,61 ",Huel e Hijos,Ciudad de Buenos Aires,Teresa Martínez,30 días,Tornillos,Tren
Buenos Aires,3,"$4.038,71 ",Keebler-Wiegand,Ciudad de Buenos Aires,Ana María Serrano,45 días,Alambre,Tren
Buenos Aires,3,"$26.447,79 ",Keebler-Wiegand,Ciudad de Buenos Aires,Carmen Diez,45 días,Alambre,Tren
Buenos Aires,3,"$9.004,27 ",Keebler-Wiegand,Ciudad de Buenos Aires,José Salcedo,45 días,Alambre,Tren
Buenos Aires,3,"$1.451,61 ",Keebler-Wiegand,Ciudad de Buenos Aires,María Carmen Serrano,45 días,Alambre,Tren
Buenos Aires,3,"$106,45 ",Keebler-Wiegand,Ciudad de Buenos Aires,Marta Amigo,45 días,Alambre,Tren
Buenos Aires,3,"$191,68 ",Keebler-Wiegand,Ciudad de Buenos Aires,Pablo López,45 días,Alambre,Tren
Buenos Aires,6,"$19.946,67 ",Keebler-Wiegand,Ciudad de Buenos Aires,Raquel Pueyo,45 días,Alambre,Tren
Buenos Aires,3,"$123,21 ",Posadas SRL,Ciudad de Buenos Aires,Alberto García,30 días,Tornillos,Camion
Buenos Aires,3,"$122,54 ",Posadas SRL,Ciudad de Buenos Aires,Antonia Martínez,30 días,Tornillos,Camion
Buenos Aires,3,"$199,61 ",Posadas SRL,Ciudad de Buenos Aires,Carmen Diez,30 días,Tornillos,Camion
Buenos Aires,3,"$152,72 ",Posadas SRL,Ciudad de Buenos Aires,Carmen Sánchez,30 días,Tornillos,Camion
Buenos Aires,3,"$117,42 ",Posadas SRL,Ciudad de Buenos Aires,Cristina Zamora,30 días,Tornillos,Camion
Buenos Aires,2,"$1.909,97 ",Posadas SRL,Ciudad de Buenos Aires,José María Pérez,30 días,Tornillos,Tren
Buenos Aires,3,"$314,20 ",Posadas SRL,Ciudad de Buenos Aires,José Sola,30 días,Tornillos,Camion
Buenos Aires,3,"$1.187,36 ",Posadas SRL,Ciudad de Buenos Aires,María Ángeles Alves,30 días,Tornillos,Camion
Buenos Aires,3,"$3.888,15 ",Posadas SRL,Ciudad de Buenos Aires,María Ángeles Ruiz,30 días,Tornillos,Tren
Buenos Aires,3,"$1.612,90 ",Posadas SRL,Ciudad de Buenos Aires,María Isabel León,30 días,Alambre,Tren
Buenos Aires,3,"$180,68 ",Posadas SRL,Ciudad de Buenos Aires,María Isabel León,30 días,Tornillos,Camion
Buenos Aires,3,"$106,48 ",Posadas SRL,Ciudad de Buenos Aires,Sergio Jiménez,30 días,Tornillos,Camion
Buenos Aires,6,"$6.452,57 ",Kundelez,Ciudad de Buenos Aires,Adrián Souto,30 días,Tornillos,Tren
Buenos Aires,3,"$7.290,74 ",Kundelez,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Tornillos,Tren
Buenos Aires,3,"$1.163,12 ",Kundelez,Ciudad de Buenos Aires,Ana María Delgado,30 días,Tornillos,Tren
Buenos Aires,3,"$499,10 ",Kundelez,Ciudad de Buenos Aires,Antonia Lorente,30 días,Tornillos,Tren
Buenos Aires,3,"$1.622,45 ",Kundelez,Ciudad de Buenos Aires,Carlos Arenas,30 días,Tornillos,Camion
Buenos Aires,3,"$4.070,28 ",Kundelez,Ciudad de Buenos Aires,Francisco Miñana,30 días,Tornillos,Tren
Buenos Aires,6,"$5.381,88 ",Kundelez,Ciudad de Buenos Aires,Juan Andrés,30 días,Tornillos,Tren
Buenos Aires,6,"$5.504,97 ",Kundelez,Ciudad de Buenos Aires,Manuel Muñoz,30 días,Tornillos,Tren
Buenos Aires,3,"$7.322,76 ",Kundelez,Ciudad de Buenos Aires,María Ángeles Ruiz,30 días,Tornillos,Camion
Buenos Aires,3,"$1.163,12 ",Kundelez,Ciudad de Buenos Aires,María Diego,30 días,Tornillos,Tren
Buenos Aires,3,"$2.677,92 ",Kundelez,Ciudad de Buenos Aires,Raquel Pueyo,30 días,Tornillos,Camion
Buenos Aires,3,"$2.126,24 ",Kundelez,Ciudad de Buenos Aires,Sara Pineda,30 días,Tornillos,Tren
Buenos Aires,3,"$2.677,92 ",Kundelez,Ciudad de Buenos Aires,Susana Escudero,30 días,Tornillos,Camion
Buenos Aires,3,"$171,69 ",Kundelez,Ciudad de Buenos Aires,Susana Escudero,30 días,Tornillos,Tren
Buenos Aires,3,"$1.141,44 ",Kundelez,Ciudad de Buenos Aires,Teresa Martínez,30 días,Tornillos,Tren
Buenos Aires,3,"$38.981,54 ",Kuvalis-Wisozk,Ciudad de Buenos Aires,José Carretero,30 días,Alambre,Tren
Buenos Aires,3,"$2.832,07 ",Ledner SRL,Ciudad de Buenos Aires,Carmen Cortes,30 días,Tornillos,Camion
Buenos Aires,3,"$127,10 ",Ledner SRL,Ciudad de Buenos Aires,Carmen Sánchez,30 días,Tornillos,Camion
Buenos Aires,3,"$178,48 ",Ledner SRL,Ciudad de Buenos Aires,Francisco Miñana,30 días,Tornillos,Camion
Buenos Aires,6,"$254,30 ",Ledner SRL,Ciudad de Buenos Aires,Jaume García,30 días,Tornillos,Camion
Buenos Aires,3,"$127,10 ",Ledner SRL,Ciudad de Buenos Aires,María Fernández,30 días,Tornillos,Camion
Buenos Aires,3,"$127,10 ",Ledner SRL,Ciudad de Buenos Aires,Marta López,30 días,Tornillos,Camion
Buenos Aires,3,"$6.039,83 ",Ziemann,Ciudad de Buenos Aires,Adrián Souto,30 días,Tornillos,Camion
Buenos Aires,3,"$1.823,62 ",Ziemann,Ciudad de Buenos Aires,Alberto García,30 días,Tornillos,Tren
Buenos Aires,3,"$2.120,92 ",Ziemann,Ciudad de Buenos Aires,Ángeles Pérez,30 días,Tornillos,Camion
Buenos Aires,3,"$4.387,20 ",Ziemann,Ciudad de Buenos Aires,Jaume García,30 días,Tornillos,Camion
Buenos Aires,3,"$1.143,77 ",Ziemann,Ciudad de Buenos Aires,José Sola,30 días,Tornillos,Camion
Buenos Aires,3,"$375,75 ",Ziemann,Ciudad de Buenos Aires,Marta López,30 días,Tornillos,Camion
Buenos Aires,3,"$70.930,52 ","Olson, Buckridge and Barrows",Ciudad de Buenos Aires,Carlos Arenas,30 días,Tornillos,Tren
Buenos Aires,3,"$210,52 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,Antonia Martínez,30 días,Tornillos,Camion
Buenos Aires,3,"$115,61 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,Cristina Rodríguez,30 días,Tornillos,Camion
Buenos Aires,3,"$592,28 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,Daniel Pino,30 días,Tornillos,Camion
Buenos Aires,3,"$101,14 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,José Antonio López,30 días,Tornillos,Camion
Buenos Aires,9,"$332,10 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,José María Pérez,30 días,Tornillos,Camion
Buenos Aires,6,"$801,07 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,María Carmen Serrano,30 días,Tornillos,Camion
Buenos Aires,3,"$101,14 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,María Diego,30 días,Tornillos,Camion
Buenos Aires,3,"$679,73 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,Marta López,30 días,Tornillos,Camion
Buenos Aires,3,"$847,77 ","Quigley, Upton and Jacobi",Ciudad de Buenos Aires,Sara Pineda,30 días,Tornillos,Camion
Buenos Aires,2,"$26.362,94 ","Reilly, Larkin and Hintz",Ciudad de Buenos Aires,Ana María Serrano,30 días,Perfiles De Acero,Camion
Buenos Aires,18,"$112,15 ","Reilly, Larkin and Hintz",Ciudad de Buenos Aires,María Isabel León,30 días,Perfiles De Acero,Camion
Buenos Aires,3,"$62.484,57 ",Schaden-Roberts,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Alambre,Tren
Buenos Aires,3,"$3.045,16 ",Schaden-Roberts,Ciudad de Buenos Aires,Carmen Cortes,30 días,Alambre,Tren
Buenos Aires,3,"$2.441,43 ",Torpan S.A.,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Tornillos,Camion
Buenos Aires,3,"$1.256,39 ",Torpan S.A.,Ciudad de Buenos Aires,Ana María Serrano,30 días,Tornillos,Tren
Buenos Aires,6,"$673,77 ",Torpan S.A.,Ciudad de Buenos Aires,Antonio Calderón,30 días,Tornillos,Camion
Buenos Aires,3,"$2.323,03 ",Torpan S.A.,Ciudad de Buenos Aires,Carlos Arenas,30 días,Tornillos,Camion
Buenos Aires,3,"$1.387,25 ",Torpan S.A.,Ciudad de Buenos Aires,Daniel Pino,30 días,Tornillos,Camion
Buenos Aires,6,"$3.032,68 ",Torpan S.A.,Ciudad de Buenos Aires,José María Pérez,30 días,Tornillos,Camion
Buenos Aires,3,"$229,58 ",Torpan S.A.,Ciudad de Buenos Aires,José Salcedo,30 días,Tornillos,Camion
Buenos Aires,3,"$376,39 ",Torpan S.A.,Ciudad de Buenos Aires,María Carmen Serrano,30 días,Tornillos,Camion
Buenos Aires,3,"$467,21 ",Torpan S.A.,Ciudad de Buenos Aires,María Isabel Heredia,30 días,Tornillos,Camion
Buenos Aires,3,"$786,64 ",Torpan S.A.,Ciudad de Buenos Aires,Marta López,30 días,Tornillos,Camion
Buenos Aires,3,"$10.246,10 ",Torpan S.A.,Ciudad de Buenos Aires,Marta López,30 días,Tornillos,Tren
Buenos Aires,3,"$18.201,48 ",Tillman-Lind,Ciudad de Buenos Aires,Joaquín Vega,30 días,Tornillos,Tren
Buenos Aires,3,"$16.043,93 ",Tillman-Lind,Ciudad de Buenos Aires,Sara Pineda,30 días,Tornillos,Tren
Buenos Aires,3,"$799,08 ",Tremblay SRL,Ciudad de Buenos Aires,Adrián Souto,30 días,Tornillos,Camion
Buenos Aires,3,"$105,33 ",Tremblay SRL,Ciudad de Buenos Aires,Alejandro Del Olmo,30 días,Tornillos,Camion
Buenos Aires,3,"$127,79 ",Tremblay SRL,Ciudad de Buenos Aires,Ana Aguilera,30 días,Tornillos,Tren
